Year,Country,happiness Rank(2015-2018),Happiness Rank(per year),Happiness Score,Economy (GDP per Capita)
2019,Iceland,,4,,
2019,Netherlands,,5,,
2019,Switzerland,,6,,
2019,Sweden,,7,,
2019,New Zealand,,8,,
2019,Canada,,9,,
2019,Austria,,10,,
2019,Australia,,11,,
2019,Costa Rica,,12,,
2019,Israel,,13,,
2019,Luxembourg,,14,,
2019,United Kingdom,,15,,
2019,Ireland,,16,,
2019,Germany,,17,,
2019,Belgium,,18,,
2019,United States,,19,,
2019,Czech Republic,,20,,
2019,United Arab Emirates,,21,,
2019,Malta,,22,,
2019,Mexico,,23,,
2019,France,,24,,
2019,Taiwan,,25,,
2019,Chile,,26,,
2019,Guatemala,,27,,
2019,Saudi Arabia,,28,,
2019,Qatar,,29,,
2019,Spain,,30,,
2019,Panama,,31,,
2019,Brazil,,32,,
2019,Uruguay,,33,,
2019,Singapore,,34,,
2019,El Salvador,,35,,
2019,Italy,,36,,
2019,Bahrain,,37,,
2019,Slovakia,,38,,
2019,Trinidad and Tobago,,39,,
2019,Poland,,40,,
2019,Uzbekistan,,41,,
2019,Lithuania,,42,,
2019,Colombia,,43,,
2019,Slovenia,,44,,
2019,Nicaragua,,45,,
2019,Kosovo,,46,,
2019,Argentina,,47,,
2019,Romania,,48,,
2019,Cyprus,,49,,
2019,Ecuador,,50,,
2019,Kuwait,,51,,
2019,Thailand,,52,,
2019,Latvia,,53,,
2019,South Korea,,54,,
2019,Estonia,,55,,
2019,Jamaica,,56,,
2019,Mauritius,,57,,
2019,Japan,,58,,
2019,Honduras,,59,,
2019,Kazakhstan,,60,,
2019,Bolivia,,61,,
2019,Hungary,,62,,
2019,Paraguay,,63,,
2019,Northern Cyprus,,64,,
2019,Peru,,65,,
2019,Portugal,,66,,
2019,Pakistan,,67,,
2019,Russia,,68,,
2019,Philippines,,69,,
2019,Serbia,,70,,
2019,Moldova,,71,,
2019,Libya,,72,,
2019,Montenegro,,73,,
2019,Tajikistan,,74,,
2019,Croatia,,75,,
2019,Hong Kong,,76,,
2019,Dominican Republic,,77,,
2019,Bosnia and Herzegovina ,,78,,
2019,Turkey,,79,,
2019,Malaysia,,80,,
2019,Belarus,,81,,
2019,Greece,,82,,
2019,Mongolia,,83,,
2019,Macedonia,,84,,
2019,Nigeria,,85,,
2019,Kyrgyzstan,,86,,
2019,Turkmenistan,,87,,
2019,Algeria,,88,,
2019,Morocco,,89,,
2019,Azerbaijan,,90,,
2019,Lebanon,,91,,
2019,Indonesia,,92,,
2019,China,,93,,
2019,Vietnam,,94,,
2019,Bhutan,,95,,
2019,Cameroon,,96,,
2019,Bulgaria,,97,,
2019,Ghana,,98,,
2019,Ivory Coast,,99,,
2019,Nepal,,100,,
2019,Jordan,,101,,
2019,Benin,,102,,
2019,Congo (Brazzaville),,103,,
2019,Gabon,,104,,
2019,Laos,,105,,
2019,South Africa,,106,,
2019,Albania,,107,,
2019,Venezuela,,108,,
2019,Cambodia,,109,,
2019,Palestinian Territories,,110,,
2019,Senegal,,111,,
2019,Somalia,,112,,
2019,Namibia,,113,,
2019,Niger,,114,,
2019,Burkina Faso,,115,,
2019,Armenia,,116,,
2019,Iran,,117,,
2019,Guinea,,118,,
2019,Georgia,,119,,
2019,Gambia,,120,,
2019,Kenya,,121,,
2019,Mauritania,,122,,
2019,Mozambique,,123,,
2019,Tunisia,,124,,
2019,Bangladesh,,125,,
2019,Iraq,,126,,
2019,Congo (Kinshasa),,127,,
2019,Mali,,128,,
2019,Sierra Leone,,129,,
2019,Sri Lanka,,130,,
2019,Myanmar,,131,,
2019,Chad,,132,,
2019,Ukraine,,133,,
2019,Ethiopia,,134,,
2019,Swaziland,,135,,
2019,Uganda,,136,,
2019,Egypt,,137,,
2019,Zambia,,138,,
2019,Togo,,139,,
2019,India,,140,,
2019,Liberia,,141,,
2019,Comoros,,142,,
2019,Madagascar,,143,,
2019,Lesotho,,144,,
2019,Burundi,,145,,
2019,Zimbabwe,,146,,
2019,Haiti,,147,,
2019,Botswana,,148,,
2019,Syria,,149,,
2019,Malawi,,150,,
2019,Yemen,,151,,
2019,Rwanda,,152,,
2019,Tanzania,,153,,
2019,Afghanistan,,154,,
2019,Central African Republic,,155,,
2019,South Sudan,,156,,
